id;first_name;last_name;email;phone_number;username;hire_date;salary
1;Holly;Ziemann;Ole.Adams18@hotmail.com;for security routine;lazily;2023-09-24T17:00:10;27196
2;Allene;Jakubowski;Eunice28@gmail.com;fizzle athwart concerning;jack;2023-09-24T09:01:08;5071
3;Norwood;Gerhold;Brendan49@hotmail.com;uh-huh where gah;philosophize brr tomb;2023-09-24T04:02:19;32742
4;Hilton;Jacobson;Priscilla.Crooks@yahoo.com;alongside;but absent or;2023-09-24T06:03:52;14576
5;Kristofer;Herzog;Kole1@gmail.com;wield combat;yuck exciting against;2023-09-24T10:17:14;21194
6;Gretchen;Graham;Edythe19@yahoo.com;excepting fluid warmly;where entrepreneur;2023-09-24T13:01:24;31076
7;Jordi;Jakubowski;Justine3@yahoo.com;pace;live where;2023-09-24T14:20:11;31345
8;Cynthia;Hintz;Harvey53@hotmail.com;happily unless;until shrilly;2023-09-24T15:21:07;1211
9;Tyra;Bayer;Henri_Ryan@gmail.com;inasmuch;times finally;2023-09-24T07:38:16;16971
10;Carlotta;Collier;Toy_Senger@gmail.com;pish elated kidney;nod drat excitedly;2023-09-24T16:51:59;14876
